Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.02	0.00590755	0.00620293	0.00620293	0.00620293	0.0064983	0.00620293	0.00694137	0.00575986	0.00590755	0.00561217	0.00590755	0.00590755	0.00575986	0.00590755	0.00620293	0.00605524	0.00575986	0.00590755	0.00590755	0.00620293	0.00635062	0.0064983	0.00620293	0.00575986	0.00635062	0.00605524	0.00590755	0.00516911	0.00575986	0.00546448	0.00605524
0.023	0.00590755	0.00605524	0.00694137	0.00575986	0.00620293	0.00575986	0.0064983	0.00620293	0.00590755	0.00620293	0.00620293	0.00590755	0.00561217	0.00605524	0.00605524	0.00620293	0.00694137	0.00575986	0.00590755	0.00664599	0.00575986	0.00561217	0.00590755	0.00635062	0.00590755	0.00590755	0.00664599	0.00590755	0.00590755	0.00575986	0.00590755
0.026	0.00575986	0.00620293	0.00605524	0.00605524	0.00590755	0.00590755	0.00679368	0.00620293	0.00635062	0.0064983	0.0064983	0.00561217	0.00605524	0.00561217	0.00561217	0.00590755	0.00590755	0.00679368	0.00575986	0.00635062	0.00605524	0.00590755	0.00575986	0.00575986	0.00620293	0.00694137	0.00590755	0.00575986	0.00575986	0.00605524	0.00575986
0.029	0.00605524	0.00635062	0.0064983	0.00605524	0.00605524	0.00575986	0.00620293	0.00635062	0.00605524	0.00635062	0.00635062	0.00546448	0.00590755	0.00561217	0.00561217	0.00590755	0.00635062	0.00620293	0.00590755	0.00620293	0.00546448	0.00620293	0.0064983	0.00635062	0.00694137	0.00575986	0.0064983	0.00620293	0.00590755	0.00620293	0.00620293
0.032	0.00664599	0.0064983	0.00679368	0.00605524	0.00605524	0.00605524	0.00635062	0.00575986	0.00635062	0.00679368	0.00590755	0.00605524	0.00605524	0.00605524	0.00620293	0.00605524	0.00546448	0.00620293	0.00620293	0.00575986	0.00605524	0.00605524	0.0064983	0.00590755	0.00620293	0.00635062	0.00620293	0.00708906	0.00635062	0.00575986	0.00620293
0.035	0.00679368	0.00620293	0.0064983	0.00605524	0.00708906	0.00605524	0.00635062	0.00605524	0.00620293	0.00605524	0.00620293	0.00575986	0.00590755	0.00635062	0.00620293	0.00620293	0.00694137	0.00620293	0.0064983	0.00590755	0.00664599	0.00620293	0.00575986	0.00605524	0.00605524	0.00575986	0.00620293	0.00664599	0.00605524	0.00590755	0.00590755
0.038	0.00664599	0.00723675	0.00635062	0.00620293	0.00605524	0.00575986	0.0064983	0.0064983	0.00664599	0.00620293	0.00664599	0.00605524	0.00575986	0.00590755	0.00590755	0.00635062	0.00590755	0.00620293	0.00590755	0.00635062	0.00590755	0.00635062	0.00590755	0.00635062	0.00635062	0.00664599	0.00605524	0.00575986	0.00590755	0.00590755	0.00620293
0.041	0.00708906	0.00664599	0.0064983	0.00590755	0.00605524	0.00605524	0.0064983	0.00605524	0.00723675	0.00620293	0.00723675	0.00635062	0.00605524	0.00605524	0.00590755	0.00605524	0.00635062	0.00708906	0.0064983	0.00620293	0.00531679	0.00679368	0.00590755	0.00620293	0.00620293	0.00620293	0.00605524	0.00590755	0.00590755	0.00679368	0.00605524
0.044	0.00679368	0.00620293	0.00635062	0.00694137	0.00605524	0.00590755	0.00635062	0.00620293	0.00620293	0.0064983	0.00679368	0.00620293	0.00635062	0.00575986	0.00575986	0.00605524	0.00635062	0.00620293	0.00620293	0.00575986	0.00561217	0.00590755	0.00620293	0.00635062	0.00635062	0.00605524	0.00561217	0.00575986	0.00575986	0.00664599	0.00605524
0.047	0.00664599	0.0064983	0.00679368	0.00635062	0.00620293	0.00605524	0.00708906	0.00605524	0.00679368	0.00620293	0.0064983	0.00679368	0.00635062	0.00620293	0.00635062	0.00635062	0.0064983	0.00635062	0.00620293	0.00590755	0.00590755	0.00575986	0.00635062	0.00605524	0.00635062	0.00620293	0.00590755	0.00635062	0.00635062	0.0064983	0.0064983
0.05	0.0064983	0.00635062	0.00635062	0.00635062	0.00605524	0.00620293	0.00708906	0.00605524	0.00620293	0.00694137	0.00635062	0.00708906	0.00605524	0.00590755	0.00605524	0.0064983	0.00590755	0.00694137	0.00620293	0.00635062	0.00575986	0.00620293	0.00635062	0.00620293	0.00679368	0.00590755	0.00620293	0.00605524	0.00575986	0.00605524	0.00620293
0.053	0.0064983	0.00664599	0.0064983	0.00679368	0.00664599	0.00605524	0.00694137	0.0064983	0.00635062	0.00738444	0.00605524	0.00590755	0.00620293	0.00679368	0.00605524	0.00635062	0.00590755	0.0064983	0.00590755	0.00664599	0.00605524	0.0064983	0.00605524	0.00664599	0.00664599	0.00635062	0.00620293	0.00605524	0.00575986	0.0064983	0.00620293
0.056	0.0064983	0.00708906	0.0064983	0.00635062	0.00635062	0.00590755	0.00635062	0.0064983	0.00664599	0.00694137	0.00635062	0.00664599	0.00590755	0.00605524	0.00664599	0.00620293	0.00620293	0.00635062	0.0064983	0.00635062	0.0064983	0.00635062	0.00590755	0.0064983	0.00694137	0.00635062	0.00590755	0.00708906	0.00635062	0.00620293	0.00590755
0.059	0.00664599	0.00664599	0.00694137	0.00679368	0.0064983	0.00664599	0.00694137	0.0064983	0.00664599	0.0064983	0.00664599	0.0064983	0.00605524	0.00620293	0.0064983	0.00605524	0.00620293	0.00635062	0.0064983	0.00605524	0.00620293	0.00605524	0.00561217	0.00708906	0.0064983	0.00605524	0.00620293	0.00605524	0.00561217	0.00708906	0.00635062
0.062	0.00708906	0.00738444	0.00679368	0.00664599	0.00753213	0.00620293	0.00664599	0.00708906	0.00664599	0.00635062	0.00694137	0.00738444	0.00605524	0.00635062	0.00694137	0.00664599	0.00664599	0.0064983	0.00664599	0.00620293	0.00620293	0.0064983	0.00605524	0.0064983	0.0064983	0.00620293	0.0064983	0.00708906	0.00635062	0.00620293	0.00590755
0.065	0.0064983	0.00635062	0.00679368	0.0064983	0.00635062	0.0064983	0.00694137	0.0064983	0.00664599	0.00708906	0.0064983	0.00753213	0.00694137	0.00664599	0.00679368	0.00694137	0.0064983	0.0064983	0.00679368	0.00620293	0.00620293	0.00605524	0.00620293	0.00635062	0.0064983	0.00620293	0.00620293	0.00620293	0.00605524	0.00753213	0.00620293
0.068	0.00664599	0.00664599	0.00679368	0.00723675	0.00635062	0.00635062	0.00694137	0.00708906	0.00694137	0.00679368	0.00679368	0.00694137	0.00679368	0.00620293	0.00664599	0.0064983	0.00664599	0.00664599	0.00635062	0.00664599	0.00575986	0.00635062	0.00620293	0.00723675	0.00723675	0.00679368	0.00694137	0.00620293	0.0064983	0.00664599	0.00590755
0.071	0.00679368	0.00635062	0.0064983	0.00679368	0.00679368	0.0064983	0.00679368	0.00664599	0.00635062	0.00694137	0.00708906	0.00664599	0.00575986	0.00694137	0.00679368	0.00605524	0.0064983	0.00723675	0.00694137	0.00635062	0.00753213	0.00664599	0.00694137	0.0064983	0.0064983	0.00620293	0.00605524	0.00590755	0.00605524	0.00635062	0.00635062
0.074	0.0064983	0.00723675	0.00708906	0.0064983	0.00664599	0.00620293	0.00708906	0.00738444	0.00694137	0.00635062	0.00664599	0.00679368	0.00635062	0.00635062	0.0064983	0.00664599	0.0064983	0.0064983	0.0064983	0.0166888	0.00886132	0.00635062	0.00635062	0.00664599	0.00694137	0.00738444	0.00620293	0.00590755	0.00605524	0.0064983	0.00635062
0.077	0.00679368	0.00708906	0.00738444	0.00679368	0.00694137	0.00620293	0.00738444	0.0064983	0.00708906	0.00694137	0.00679368	0.00664599	0.00635062	0.0064983	0.00620293	0.00620293	0.00635062	0.00694137	0.0064983	0.0171319	0.0107813	0.0064983	0.00605524	0.00694137	0.00723675	0.0064983	0.00605524	0.00590755	0.00575986	0.00708906	0.00620293
0.08	0.00738444	0.00723675	0.0064983	0.00664599	0.00635062	0.00605524	0.00797519	0.00738444	0.00753213	0.00738444	0.00723675	0.0064983	0.0064983	0.00664599	0.00664599	0.0064983	0.00620293	0.0064983	0.00708906	0.0171319	0.011372	0.00723675	0.00635062	0.00635062	0.00664599	0.00664599	0.0064983	0.00590755	0.00694137	0.00664599	0.00620293
0.083	0.00738444	0.0078275	0.00708906	0.00694137	0.00753213	0.00664599	0.00753213	0.00664599	0.00723675	0.00708906	0.00708906	0.00664599	0.00620293	0.00635062	0.00620293	0.00723675	0.00664599	0.00723675	0.00694137	0.0181657	0.0119628	0.00753213	0.00620293	0.00679368	0.00708906	0.00664599	0.00605524	0.0064983	0.00635062	0.00723675	0.00620293
0.086	0.00723675	0.00738444	0.00694137	0.0078275	0.00708906	0.00664599	0.00694137	0.00694137	0.00679368	0.0064983	0.00708906	0.00679368	0.00679368	0.00679368	0.00708906	0.00694137	0.00635062	0.00708906	0.00620293	0.017575	0.0125535	0.00827057	0.00620293	0.00694137	0.00694137	0.0064983	0.00605524	0.0064983	0.00605524	0.00679368	0.00679368
0.089	0.00708906	0.00694137	0.00753213	0.00708906	0.00708906	0.0064983	0.00694137	0.00694137	0.00738444	0.00679368	0.00708906	0.00708906	0.0064983	0.00635062	0.00664599	0.00635062	0.00694137	0.00664599	0.0262886	0.0184611	0.0127012	0.00767981	0.00620293	0.0064983	0.00664599	0.00679368	0.00664599	0.00605524	0.00664599	0.00679368	0.0064983
0.092	0.00694137	0.00723675	0.00708906	0.00738444	0.00679368	0.00620293	0.00723675	0.00708906	0.00708906	0.0064983	0.00664599	0.00694137	0.0064983	0.00664599	0.0064983	0.00723675	0.00694137	0.00679368	0.0271747	0.0186088	0.0118151	0.00827057	0.00605524	0.00708906	0.0064983	0.00679368	0.0064983	0.00620293	0.00694137	0.00664599	0.00664599
0.095	0.00753213	0.00708906	0.00708906	0.00738444	0.00694137	0.00664599	0.00738444	0.00753213	0.00694137	0.00738444	0.00753213	0.00694137	0.00679368	0.00723675	0.00708906	0.0064983	0.00679368	0.00708906	0.0267317	0.0184611	0.0119628	0.0078275	0.00605524	0.00694137	0.00738444	0.00708906	0.00679368	0.00590755	0.00664599	0.00738444	0.00635062
0.098	0.00767981	0.00708906	0.00723675	0.00738444	0.00679368	0.00694137	0.00738444	0.00753213	0.00694137	0.00679368	0.00708906	0.00694137	0.00797519	0.00620293	0.00635062	0.0064983	0.0064983	0.00694137	0.0273224	0.0191995	0.0122582	0.0091567	0.00635062	0.00679368	0.00708906	0.0064983	0.00620293	0.00605524	0.00738444	0.00694137	0.00664599
0.101	0.00738444	0.00738444	0.00738444	0.00694137	0.00738444	0.00635062	0.00812288	0.00723675	0.00767981	0.00708906	0.00723675	0.0064983	0.00664599	0.00635062	0.00635062	0.00664599	0.00708906	0.00664599	0.0277655	0.0193472	0.0128489	0.0091567	0.00605524	0.00708906	0.00679368	0.00679368	0.00694137	0.00620293	0.0064983	0.00708906	0.00664599
